plant,hz,nominal_ratio,one_way_delay_ms,schedule,max_motor_error_rad,max_load_error_rad,motor_rms_rad,load_rms_rad,tail_load_rms_rad,tail_load_velocity_rms_rad_s,peak_current_a,peak_twist_rad,amplitude_limited_pct,slew_limited_pct,compensation_limited_pct,result
varying_inertia,100,1.00,20,0,0.059575,0.059575,0.019373,0.019373,0.001000,0.001349,0.318935,0.000000,0.000,0.000,0.000,within_report_threshold
varying_inertia,100,2.00,0,0,0.045173,0.045173,0.015902,0.015902,0.001586,0.001858,0.127498,0.000000,0.000,0.000,0.000,within_report_threshold
varying_inertia,100,2.00,5,0,0.047676,0.047676,0.016000,0.016000,0.001609,0.001917,0.130873,0.000000,0.000,0.000,0.000,within_report_threshold
varying_inertia,100,2.00,10,0,0.053860,0.053860,0.016741,0.016741,0.001324,0.001785,0.240910,0.000000,0.000,0.000,0.000,within_report_threshold
varying_inertia,100,2.00,20,0,36.314571,36.314571,12.439340,12.439340,21.781088,54.650327,6.946372,0.000000,41.917,51.083,51.250,poor
varying_inertia,100,4.00,0,0,23.623331,23.623331,6.559015,6.559015,20.029322,23.290243,4.565809,0.000000,30.750,40.250,39.750,poor
varying_inertia,100,4.00,5,0,46.200233,46.200233,15.810664,15.810664,26.287377,86.894475,5.789971,0.000000,44.583,52.250,52.250,poor
varying_inertia,100,4.00,10,0,81.165230,81.165230,29.794116,29.794116,43.427702,124.986095,7.187676,0.000000,52.083,60.667,60.833,poor
varying_inertia,100,4.00,20,0,368.084412,368.084412,168.323203,168.323203,135.177423,332.513619,10.000000,0.000000,83.000,90.417,94.333,poor
varying_inertia,200,0.25,0,0,0.502391,0.502391,0.169270,0.169270,0.032468,0.041630,1.129849,0.000000,0.000,0.000,38.083,within_report_threshold
varying_inertia,200,0.25,5,0,0.515005,0.515005,0.172736,0.172736,0.034258,0.044274,1.156337,0.000000,0.000,0.000,38.792,within_report_threshold
varying_inertia,200,0.25,10,0,0.528225,0.528225,0.176457,0.176457,0.035806,0.048332,1.184172,0.000000,0.000,0.000,39.167,within_report_threshold
varying_inertia,200,0.25,20,0,0.556322,0.556322,0.184720,0.184720,0.038005,0.060918,1.243964,0.000000,0.000,0.000,40.083,within_report_threshold
varying_inertia,200,0.50,0,0,0.193739,0.193739,0.066735,0.066735,0.000175,0.000342,0.692912,0.000000,0.000,0.000,2.125,within_report_threshold
varying_inertia,200,0.50,5,0,0.199204,0.199204,0.069209,0.069209,0.000141,0.000295,0.717768,0.000000,0.000,0.000,5.250,within_report_threshold
varying_inertia,200,0.50,10,0,0.205326,0.205326,0.072443,0.072443,0.000091,0.000179,0.740368,0.000000,0.000,0.000,7.000,within_report_threshold
varying_inertia,200,0.50,20,0,0.233605,0.233605,0.081546,0.081546,0.000036,0.000115,0.816995,0.000000,0.000,0.000,14.167,within_report_threshold
varying_inertia,200,1.00,0,0,0.035490,0.035490,0.013965,0.013965,0.001051,0.001345,0.279926,0.000000,0.000,0.000,0.000,within_report_threshold
varying_inertia,200,1.00,5,0,0.035482,0.035482,0.014205,0.014205,0.001056,0.001343,0.287150,0.000000,0.000,0.000,0.000,within_report_threshold
varying_inertia,200,1.00,10,0,0.041287,0.041287,0.015290,0.015290,0.001053,0.001330,0.296147,0.000000,0.000,0.000,0.000,within_report_threshold
varying_inertia,200,1.00,20,0,0.060018,0.060018,0.019492,0.019492,0.001044,0.001342,0.318372,0.000000,0.000,0.000,0.000,within_report_threshold
varying_inertia,200,2.00,0,0,0.046021,0.046021,0.016224,0.016224,0.001646,0.001908,0.126752,0.000000,0.000,0.000,0.000,within_report_threshold
varying_inertia,200,2.00,5,0,0.048191,0.048191,0.016284,0.016284,0.001639,0.001909,0.129978,0.000000,0.000,0.000,0.000,within_report_threshold
varying_inertia,200,2.00,10,0,0.065602,0.065602,0.017936,0.017936,0.001305,0.001607,0.394469,0.000000,0.000,4.083,3.542,within_report_threshold
varying_inertia,200,2.00,20,0,49.622261,49.622261,12.027761,12.027761,24.236283,65.099945,6.282979,0.000000,41.042,50.458,50.375,poor
varying_inertia,200,4.00,0,0,17.615454,17.615454,4.965308,4.965308,11.703708,38.955601,4.000725,0.000000,30.917,39.750,39.292,poor
